Location,Count,Max,Timestamp
Cove Pool,13,116,2/5/2024 17:21
Mount Mendota,9,39,2/5/2024 17:21
Skybox Suites,0,18,2/5/2024 17:21
SubZero Ice Center,,,2/5/2024 17:21
Nick Level 1 Fitness,44,150,2/5/2024 17:41
Nick Level 2 Fitness,45,100,2/5/2024 17:41
Nick Level 3 Fitness,123,200,2/5/2024 17:41
Nick Power House,67,140,2/5/2024 17:41
Nick Track,29,100,2/5/2024 17:41
Soderholm Family Aquatic Center,,,2/5/2024 17:41
Nick Courts 1 & 2,11,250,2/5/2024 17:41
Nick Courts 3-6,32,500,2/5/2024 17:41
Nick Courts 7 & 8,15,250,2/5/2024 17:41
Level 1 Fitness,61,130,2/5/2024 17:41
Level 2 Fitness,24,65,2/5/2024 17:41
Level 3 Fitness,64,246,2/5/2024 17:41
Level 4 Fitness,28,75,2/5/2024 17:41
Bakke Track,16,100,2/5/2024 17:41
Courts 1&2,7,250,2/5/2024 17:41
Courts 3&4,0,250,2/5/2024 17:41
Courts 5-8,18,500,2/5/2024 17:41
Orbit,18,46,2/5/2024 17:41
Willow Room,0,27,2/5/2024 17:41
Cove Pool,14,116,2/5/2024 17:41
Mount Mendota,12,39,2/5/2024 17:41
Skybox Suites,4,18,2/5/2024 17:41
SubZero Ice Center,,,2/5/2024 17:41
Nick Level 1 Fitness,44,150,2/5/2024 18:01
Nick Level 2 Fitness,45,100,2/5/2024 18:01
Nick Level 3 Fitness,123,200,2/5/2024 18:01
Nick Power House,67,140,2/5/2024 18:01
Nick Track,29,100,2/5/2024 18:01
Soderholm Family Aquatic Center,,,2/5/2024 18:01
Nick Courts 1 & 2,11,250,2/5/2024 18:01
Nick Courts 3-6,32,500,2/5/2024 18:01
Nick Courts 7 & 8,15,250,2/5/2024 18:01
Level 1 Fitness,61,130,2/5/2024 18:02
Level 2 Fitness,24,65,2/5/2024 18:02
Level 3 Fitness,64,246,2/5/2024 18:02
Level 4 Fitness,28,75,2/5/2024 18:02
Bakke Track,16,100,2/5/2024 18:02
Courts 1&2,7,250,2/5/2024 18:02
Courts 3&4,0,250,2/5/2024 18:02
Courts 5-8,18,500,2/5/2024 18:02
Orbit,18,46,2/5/2024 18:02
Willow Room,0,27,2/5/2024 18:02
Cove Pool,14,116,2/5/2024 18:02
Mount Mendota,12,39,2/5/2024 18:02
Skybox Suites,4,18,2/5/2024 18:02
SubZero Ice Center,,,2/5/2024 18:02
Nick Level 1 Fitness,44,150,2/5/2024 18:22
Nick Level 2 Fitness,45,100,2/5/2024 18:22
Nick Level 3 Fitness,123,200,2/5/2024 18:22
Nick Power House,67,140,2/5/2024 18:22
Nick Track,29,100,2/5/2024 18:22
Soderholm Family Aquatic Center,,,2/5/2024 18:22
Nick Courts 1 & 2,0,250,2/5/2024 18:22
Nick Courts 3-6,32,500,2/5/2024 18:22
Nick Courts 7 & 8,15,250,2/5/2024 18:22
Level 1 Fitness,61,130,2/5/2024 18:22
Level 2 Fitness,24,65,2/5/2024 18:22
Level 3 Fitness,64,246,2/5/2024 18:22
Level 4 Fitness,28,75,2/5/2024 18:22
Bakke Track,16,100,2/5/2024 18:22
Courts 1&2,7,250,2/5/2024 18:22
Courts 3&4,0,250,2/5/2024 18:22
Courts 5-8,18,500,2/5/2024 18:22
Orbit,18,46,2/5/2024 18:22
Willow Room,0,27,2/5/2024 18:22
Cove Pool,14,116,2/5/2024 18:22
Mount Mendota,12,39,2/5/2024 18:22
Skybox Suites,4,18,2/5/2024 18:22
SubZero Ice Center,,,2/5/2024 18:22
Nick Level 1 Fitness,72,150,2/5/2024 18:42
Nick Level 2 Fitness,54,100,2/5/2024 18:42
Nick Level 3 Fitness,158,200,2/5/2024 18:42
Nick Power House,67,140,2/5/2024 18:42
Nick Track,46,100,2/5/2024 18:42
Soderholm Family Aquatic Center,,,2/5/2024 18:42
Nick Courts 1 & 2,37,250,2/5/2024 18:42
Nick Courts 3-6,79,500,2/5/2024 18:42
Nick Courts 7 & 8,19,250,2/5/2024 18:42
Level 1 Fitness,61,130,2/5/2024 18:43
Level 2 Fitness,24,65,2/5/2024 18:43
Level 3 Fitness,64,246,2/5/2024 18:43
Level 4 Fitness,28,75,2/5/2024 18:43
Bakke Track,16,100,2/5/2024 18:43
Courts 1&2,7,250,2/5/2024 18:43
Courts 3&4,0,250,2/5/2024 18:43
Courts 5-8,18,500,2/5/2024 18:43
Orbit,18,46,2/5/2024 18:43
Willow Room,0,27,2/5/2024 18:43
Cove Pool,14,116,2/5/2024 18:43
Mount Mendota,12,39,2/5/2024 18:43
Skybox Suites,4,18,2/5/2024 18:43
SubZero Ice Center,,,2/5/2024 18:43
Nick Level 1 Fitness,72,150,2/5/2024 19:03
Nick Level 2 Fitness,54,100,2/5/2024 19:03
Nick Level 3 Fitness,158,200,2/5/2024 19:03
Nick Power House,74,140,2/5/2024 19:03
Nick Track,46,100,2/5/2024 19:03
Soderholm Family Aquatic Center,,,2/5/2024 19:03
Nick Courts 1 & 2,37,250,2/5/2024 19:03
Nick Courts 3-6,79,500,2/5/2024 19:03
Nick Courts 7 & 8,19,250,2/5/2024 19:03
Level 1 Fitness,61,130,2/5/2024 19:03
Level 2 Fitness,24,65,2/5/2024 19:03
Level 3 Fitness,64,246,2/5/2024 19:03
Level 4 Fitness,28,75,2/5/2024 19:03
Bakke Track,16,100,2/5/2024 19:03
Courts 1&2,7,250,2/5/2024 19:03
Courts 3&4,0,250,2/5/2024 19:03
Courts 5-8,18,500,2/5/2024 19:03
Orbit,18,46,2/5/2024 19:03
Willow Room,0,27,2/5/2024 19:03
Cove Pool,14,116,2/5/2024 19:03
Mount Mendota,12,39,2/5/2024 19:03
Skybox Suites,4,18,2/5/2024 19:03
SubZero Ice Center,,,2/5/2024 19:03
Nick Level 1 Fitness,72,150,2/5/2024 19:23
Nick Level 2 Fitness,54,100,2/5/2024 19:23
Nick Level 3 Fitness,158,200,2/5/2024 19:23
Nick Power House,74,140,2/5/2024 19:23
Nick Track,46,100,2/5/2024 19:23
Soderholm Family Aquatic Center,,,2/5/2024 19:23
Nick Courts 1 & 2,37,250,2/5/2024 19:23
Nick Courts 3-6,79,500,2/5/2024 19:23
Nick Courts 7 & 8,19,250,2/5/2024 19:23
Level 1 Fitness,61,130,2/5/2024 19:23
Level 2 Fitness,24,65,2/5/2024 19:23
Level 3 Fitness,64,246,2/5/2024 19:23
Level 4 Fitness,28,75,2/5/2024 19:23
Bakke Track,16,100,2/5/2024 19:23
Courts 1&2,7,250,2/5/2024 19:23
Courts 3&4,0,250,2/5/2024 19:23
Courts 5-8,18,500,2/5/2024 19:23
Orbit,18,46,2/5/2024 19:23
Willow Room,0,27,2/5/2024 19:23
Cove Pool,14,116,2/5/2024 19:23
Mount Mendota,12,39,2/5/2024 19:23
Skybox Suites,4,18,2/5/2024 19:23
SubZero Ice Center,,,2/5/2024 19:23
Nick Level 1 Fitness,60,150,2/5/2024 19:44
Nick Level 2 Fitness,61,100,2/5/2024 19:44
Nick Level 3 Fitness,149,200,2/5/2024 19:44
Nick Power House,74,140,2/5/2024 19:44
Nick Track,35,100,2/5/2024 19:44
Soderholm Family Aquatic Center,,,2/5/2024 19:44
Nick Courts 1 & 2,35,250,2/5/2024 19:44
Nick Courts 3-6,59,500,2/5/2024 19:44
Nick Courts 7 & 8,16,250,2/5/2024 19:44
Level 1 Fitness,57,130,2/5/2024 19:44
Level 2 Fitness,22,65,2/5/2024 19:44
Level 3 Fitness,50,246,2/5/2024 19:44
Level 4 Fitness,20,75,2/5/2024 19:44
Bakke Track,2,100,2/5/2024 19:44
Courts 1&2,4,250,2/5/2024 19:44
Courts 3&4,4,250,2/5/2024 19:44
Courts 5-8,31,500,2/5/2024 19:44
Orbit,8,46,2/5/2024 19:44
Willow Room,0,27,2/5/2024 19:44
Cove Pool,9,116,2/5/2024 19:44
Mount Mendota,6,39,2/5/2024 19:44
Skybox Suites,4,18,2/5/2024 19:44
SubZero Ice Center,,,2/5/2024 19:44
Nick Level 1 Fitness,60,150,2/5/2024 20:04
Nick Level 2 Fitness,61,100,2/5/2024 20:04
Nick Level 3 Fitness,149,200,2/5/2024 20:04
Nick Power House,67,140,2/5/2024 20:04
Nick Track,35,100,2/5/2024 20:04
Soderholm Family Aquatic Center,,,2/5/2024 20:04
Nick Courts 1 & 2,35,250,2/5/2024 20:04
Nick Courts 3-6,59,500,2/5/2024 20:04
Nick Courts 7 & 8,16,250,2/5/2024 20:04
Level 1 Fitness,57,130,2/5/2024 20:04
Level 2 Fitness,22,65,2/5/2024 20:04
Level 3 Fitness,50,246,2/5/2024 20:04
Level 4 Fitness,20,75,2/5/2024 20:04
Bakke Track,2,100,2/5/2024 20:04
Courts 1&2,4,250,2/5/2024 20:04
Courts 3&4,4,250,2/5/2024 20:04
Courts 5-8,31,500,2/5/2024 20:04
Orbit,8,46,2/5/2024 20:04
Willow Room,0,27,2/5/2024 20:04
Cove Pool,9,116,2/5/2024 20:04
Mount Mendota,6,39,2/5/2024 20:04
Skybox Suites,4,18,2/5/2024 20:04
SubZero Ice Center,,,2/5/2024 20:04
Nick Level 1 Fitness,60,150,2/5/2024 20:25
Nick Level 2 Fitness,61,100,2/5/2024 20:25
Nick Level 3 Fitness,149,200,2/5/2024 20:25
Nick Power House,67,140,2/5/2024 20:25
Nick Track,35,100,2/5/2024 20:25
Soderholm Family Aquatic Center,,,2/5/2024 20:25
Nick Courts 1 & 2,35,250,2/5/2024 20:25
Nick Courts 3-6,59,500,2/5/2024 20:25
Nick Courts 7 & 8,16,250,2/5/2024 20:25
Level 1 Fitness,39,130,2/5/2024 20:25
Level 2 Fitness,20,65,2/5/2024 20:25
Level 3 Fitness,45,246,2/5/2024 20:25
Level 4 Fitness,8,75,2/5/2024 20:25
Bakke Track,0,100,2/5/2024 20:25
Courts 1&2,4,250,2/5/2024 20:25
Courts 3&4,4,250,2/5/2024 20:25
Courts 5-8,26,500,2/5/2024 20:25
Orbit,10,46,2/5/2024 20:25
Willow Room,0,27,2/5/2024 20:25
Cove Pool,6,116,2/5/2024 20:25
Mount Mendota,6,39,2/5/2024 20:25
Skybox Suites,4,18,2/5/2024 20:25
SubZero Ice Center,,,2/5/2024 20:25
Nick Level 1 Fitness,67,150,2/5/2024 20:45
Nick Level 2 Fitness,45,100,2/5/2024 20:45
Nick Level 3 Fitness,165,200,2/5/2024 20:45
Nick Power House,67,140,2/5/2024 20:45
Nick Track,44,100,2/5/2024 20:45
Soderholm Family Aquatic Center,,,2/5/2024 20:45
Nick Courts 1 & 2,37,250,2/5/2024 20:45
Nick Courts 3-6,94,500,2/5/2024 20:45
Nick Courts 7 & 8,18,250,2/5/2024 20:45
Level 1 Fitness,39,130,2/5/2024 20:45
Level 2 Fitness,20,65,2/5/2024 20:45
Level 3 Fitness,45,246,2/5/2024 20:45
Level 4 Fitness,8,75,2/5/2024 20:45
Bakke Track,0,100,2/5/2024 20:45
Courts 1&2,4,250,2/5/2024 20:45
Courts 3&4,4,250,2/5/2024 20:45
Courts 5-8,26,500,2/5/2024 20:45
Orbit,10,46,2/5/2024 20:45
Willow Room,0,27,2/5/2024 20:45
Cove Pool,6,116,2/5/2024 20:45
Mount Mendota,6,39,2/5/2024 20:45
Skybox Suites,4,18,2/5/2024 20:45
SubZero Ice Center,,,2/5/2024 20:45
Nick Level 1 Fitness,67,150,2/5/2024 21:05
Nick Level 2 Fitness,45,100,2/5/2024 21:05
Nick Level 3 Fitness,165,200,2/5/2024 21:05
Nick Power House,72,140,2/5/2024 21:05
Nick Track,44,100,2/5/2024 21:05
Soderholm Family Aquatic Center,,,2/5/2024 21:05
Nick Courts 1 & 2,37,250,2/5/2024 21:05
Nick Courts 3-6,94,500,2/5/2024 21:05
Nick Courts 7 & 8,18,250,2/5/2024 21:05
Level 1 Fitness,39,130,2/5/2024 21:06
Level 2 Fitness,20,65,2/5/2024 21:06
Level 3 Fitness,45,246,2/5/2024 21:06
Level 4 Fitness,8,75,2/5/2024 21:06
Bakke Track,0,100,2/5/2024 21:06
Courts 1&2,4,250,2/5/2024 21:06
Courts 3&4,4,250,2/5/2024 21:06
Courts 5-8,26,500,2/5/2024 21:06
Orbit,10,46,2/5/2024 21:06
Willow Room,0,27,2/5/2024 21:06
Cove Pool,6,116,2/5/2024 21:06
Mount Mendota,6,39,2/5/2024 21:06
Skybox Suites,4,18,2/5/2024 21:06
SubZero Ice Center,,,2/5/2024 21:06
Nick Level 1 Fitness,67,150,2/5/2024 21:26
Nick Level 2 Fitness,45,100,2/5/2024 21:26
Nick Level 3 Fitness,165,200,2/5/2024 21:26
Nick Power House,72,140,2/5/2024 21:26
Nick Track,44,100,2/5/2024 21:26
Soderholm Family Aquatic Center,,,2/5/2024 21:26
Nick Courts 1 & 2,37,250,2/5/2024 21:26
Nick Courts 3-6,94,500,2/5/2024 21:26
Nick Courts 7 & 8,18,250,2/5/2024 21:26
Level 1 Fitness,39,130,2/5/2024 21:26
Level 2 Fitness,20,65,2/5/2024 21:26
Level 3 Fitness,45,246,2/5/2024 21:26
Level 4 Fitness,8,75,2/5/2024 21:26
Bakke Track,0,100,2/5/2024 21:26
Courts 1&2,4,250,2/5/2024 21:26
Courts 3&4,4,250,2/5/2024 21:26
Courts 5-8,26,500,2/5/2024 21:26
Orbit,10,46,2/5/2024 21:26
Willow Room,0,27,2/5/2024 21:26
Cove Pool,6,116,2/5/2024 21:26
Mount Mendota,6,39,2/5/2024 21:26
Skybox Suites,4,18,2/5/2024 21:26
SubZero Ice Center,,,2/5/2024 21:26
Nick Level 1 Fitness,51,150,2/5/2024 21:46
Nick Level 2 Fitness,32,100,2/5/2024 21:46
Nick Level 3 Fitness,131,200,2/5/2024 21:46
Nick Power House,54,140,2/5/2024 21:46
Nick Track,36,100,2/5/2024 21:46
Soderholm Family Aquatic Center,,,2/5/2024 21:46
Nick Courts 1 & 2,37,250,2/5/2024 21:46
Nick Courts 3-6,94,500,2/5/2024 21:46
Nick Courts 7 & 8,18,250,2/5/2024 21:46
Level 1 Fitness,39,130,2/5/2024 21:47
Level 2 Fitness,20,65,2/5/2024 21:47
Level 3 Fitness,45,246,2/5/2024 21:47
Level 4 Fitness,8,75,2/5/2024 21:47
Bakke Track,0,100,2/5/2024 21:47
Courts 1&2,4,250,2/5/2024 21:47
Courts 3&4,4,250,2/5/2024 21:47
Courts 5-8,26,500,2/5/2024 21:47
Orbit,10,46,2/5/2024 21:47
Willow Room,0,27,2/5/2024 21:47
Cove Pool,6,116,2/5/2024 21:47
Mount Mendota,6,39,2/5/2024 21:47
Skybox Suites,4,18,2/5/2024 21:47
SubZero Ice Center,,,2/5/2024 21:47
Nick Level 1 Fitness,51,150,2/5/2024 22:07
Nick Level 2 Fitness,32,100,2/5/2024 22:07
Nick Level 3 Fitness,131,200,2/5/2024 22:07
Nick Power House,54,140,2/5/2024 22:07
Nick Track,36,100,2/5/2024 22:07
Soderholm Family Aquatic Center,,,2/5/2024 22:07
Nick Courts 1 & 2,37,250,2/5/2024 22:07
Nick Courts 3-6,94,500,2/5/2024 22:07
Nick Courts 7 & 8,18,250,2/5/2024 22:07
Level 1 Fitness,55,130,2/5/2024 22:07
Level 2 Fitness,16,65,2/5/2024 22:07
Level 3 Fitness,44,246,2/5/2024 22:07
Level 4 Fitness,22,75,2/5/2024 22:07
Bakke Track,6,100,2/5/2024 22:07
Courts 1&2,38,250,2/5/2024 22:07
Courts 3&4,14,250,2/5/2024 22:07
Courts 5-8,65,500,2/5/2024 22:07
Orbit,28,46,2/5/2024 22:07
Willow Room,0,27,2/5/2024 22:07
Cove Pool,,,2/5/2024 22:07
